Age,Gender,Education Level,Job Title,Years of Experience,Salary
46,Male,PhD,Director of Software Development,23.6,255800
32,Male,Bachelor's,Senior QA Engineer,11.2,141800
24,Male,Bachelor's,Cloud Support Engineer,4.0,69700
28,Male,Master's,Data Engineer,8.5,121600
34,Female,Master's,Technical Program Manager,11.8,147200
47,Female,Bachelor's,Director of Data Science,27.5,242000
48,Male,PhD,Director of IT,26.3,278900
32,Male,Bachelor's,Senior Database Administrator,11.0,151500
22,Female,Bachelor's,Junior Cloud Support Engineer,1.0,38400
32,Female,Bachelor's,Senior Web Developer,11.0,145600
34,Male,Master's,Lead Data Engineer,14.9,180200
23,Female,Bachelor's,Junior DevOps Engineer,1.9,44500
27,Male,Bachelor's,Senior Backend Developer,7.4,100400
23,Female,Bachelor's,UI/UX Designer,3.5,64800
21,Male,Bachelor's,Help Desk Technician,1.4,40800
26,Female,Master's,Cybersecurity Analyst,4.2,83800
22,Female,Bachelor's,Junior Database Administrator,0.2,26900
37,Female,Bachelor's,Network Manager,17.8,182400
28,Female,PhD,Cloud Solutions Architect,6.0,107000
23,Male,Bachelor's,Database Administrator,4.3,77200
19,Male,Master's,Junior UI/UX Designer,0.1,27600
23,Female,Bachelor's,Junior Network Technician,2.0,46900
23,Male,Bachelor's,Software Engineer,2.5,54300
30,Female,Master's,Senior Data Analyst,9.2,131600
50,Female,Master's,Director of Engineering,28.2,277000
31,Female,Master's,Senior Data Engineer,8.6,133900
25,Male,Master's,Automation Engineer,3.9,72300
31,Male,Master's,Senior Backend Developer,10.3,152200
21,Female,Master's,Mobile App Developer,2.1,55100
26,Female,Bachelor's,Senior Cybersecurity Analyst,7.8,101800
21,Male,Master's,Junior Software Developer,1.2,41200
23,Male,Bachelor's,Junior DevOps Engineer,1.8,45400
21,Female,Bachelor's,Backend Developer,2.9,59800
22,Male,PhD,Junior UI/UX Designer,1.3,45600
31,Female,Bachelor's,Database Manager,11.7,144800
35,Male,PhD,Database Manager,15.4,190000
23,Female,Master's,Help Desk Technician,0.6,34400
22,Female,Bachelor's,Junior Business Intelligence Analyst,1.1,36200
36,Female,Master's,Principal Engineer,13.5,165600
44,Female,Master's,Director of Engineering,22.6,233300
19,Female,Bachelor's,Junior Web Developer,0.6,32300
30,Male,Bachelor's,Senior Frontend Developer,8.2,109300
24,Female,Bachelor's,Backend Developer,4.3,76800
26,Female,Bachelor's,Senior Software Engineer,6.6,105400
22,Female,Master's,Junior DevOps Engineer,0.0,26200
30,Male,Bachelor's,Senior IT Consultant,7.6,104400
21,Male,Master's,Junior DevOps Engineer,1.9,48700
24,Female,Bachelor's,QA Engineer,4.4,75300
22,Male,Bachelor's,Trainee Software Engineer,1.9,46900
22,Male,Bachelor's,Junior QA Tester,0.6,34000
31,Male,Bachelor's,Senior Data Analyst,11.3,140600
31,Male,Bachelor's,Platform Engineer,8.2,117700
24,Male,PhD,Junior QA Tester,1.7,51600
22,Male,Bachelor's,Junior System Administrator,1.4,42900
25,Male,Bachelor's,Software Engineer,3.0,52100
30,Male,Bachelor's,Senior System Administrator,9.8,130000
30,Female,PhD,Machine Learning Engineer,11.2,163400
24,Male,Bachelor's,Technical Support Engineer,2.1,49600
31,Female,Bachelor's,Platform Engineer,9.4,121100
37,Female,Bachelor's,Technical Program Manager,14.6,162100
35,Male,PhD,Technical Program Manager,13.1,180000
21,Male,Bachelor's,Cloud Support Engineer,2.4,52500
22,Male,Bachelor's,Junior Database Administrator,1.3,38000
38,Female,Master's,Technical Program Manager,15.4,175600
26,Male,PhD,Senior Mobile App Developer,6.2,101700
24,Female,Master's,Junior Cybersecurity Analyst,1.2,42400
27,Male,Bachelor's,Database Administrator,4.8,79700
23,Female,PhD,Help Desk Technician,1.0,42900
21,Female,Master's,DevOps Engineer,2.7,57100
22,Male,Bachelor's,Technical Support Engineer,3.1,65400
22,Female,Master's,QA Engineer,2.5,59000
35,Male,PhD,IT Program Manager,14.1,175100
29,Male,Bachelor's,Senior Data Analyst,6.6,101200
36,Female,PhD,Principal Cloud Architect,13.3,172900
32,Male,Bachelor's,Senior DevOps Engineer,9.8,123700
28,Male,Bachelor's,Senior Network Engineer,7.9,102700
21,Male,Bachelor's,Junior UI/UX Designer,1.8,44900
28,Female,PhD,Cybersecurity Analyst,5.1,97600
22,Male,Bachelor's,Help Desk Technician,1.6,42300
21,Male,PhD,Junior Cybersecurity Analyst,1.0,40700
24,Male,Master's,Software Test Engineer,3.7,72900
23,Male,Master's,Data Analyst,2.1,49800
30,Male,Bachelor's,Technical Program Manager,11.0,139000
33,Male,Master's,Senior Web Developer,11.4,165500
26,Female,PhD,Web Developer,4.6,89700
22,Female,Bachelor's,Help Desk Technician,1.8,41700
40,Male,PhD,Director of IT,21.5,248100
26,Female,Bachelor's,Senior System Administrator,7.3,89800
21,Male,Master's,IT Consultant,2.6,53300
26,Male,Master's,Senior System Administrator,6.4,109600
23,Male,Bachelor's,Network Engineer,2.2,57600
23,Male,Master's,Business Intelligence Analyst,4.7,89900
27,Male,Master's,Senior Software Engineer,7.1,97700
31,Female,Master's,Senior Cybersecurity Analyst,8.3,119500
22,Female,Bachelor's,IT Support Technician,0.4,31000
27,Female,Bachelor's,Frontend Developer,5.1,81900
49,Female,Master's,Director of IT,26.9,259400
34,Male,Bachelor's,Technical Program Manager,15.1,162200
43,Male,Master's,VP of Data & Analytics,19.7,207200
29,Male,Bachelor's,Data Engineer,6.5,88400
32,Male,PhD,Information Security Analyst,9.2,137400
25,Female,Bachelor's,Full Stack Developer,4.2,74100
31,Female,Bachelor's,Information Security Analyst,9.0,127300
29,Female,Master's,Platform Engineer,7.5,104300
36,Male,Master's,Engineering Manager,14.0,168500
28,Female,Bachelor's,Cloud Solutions Architect,6.5,91900
21,Male,Bachelor's,Junior Software Developer,0.1,25600
30,Female,Master's,Senior IT Consultant,9.5,138200
27,Female,Bachelor's,UI/UX Designer,4.9,85100
20,Male,Bachelor's,Junior Data Analyst,0.5,30500
28,Male,Master's,Senior Cybersecurity Analyst,7.6,113500
32,Female,PhD,Senior QA Engineer,9.5,158600
36,Male,Master's,Lead DevOps Engineer,15.2,173500
32,Female,Master's,Engineering Manager,12.8,160200
24,Female,Master's,Web Developer,2.0,51600
24,Female,Bachelor's,Junior Data Analyst,1.5,44300
24,Female,Bachelor's,Junior Data Analyst,1.9,45800
26,Female,Master's,DevOps Engineer,5.9,92800
49,Female,Master's,Director of Software Development,28.6,279200
38,Male,Bachelor's,Lead Cybersecurity Engineer,16.6,178600
23,Male,Master's,QA Engineer,4.3,73000
31,Female,Bachelor's,Information Security Analyst,10.7,150300
21,Male,Bachelor's,Junior System Administrator,0.3,31300
28,Male,Master's,Senior Full Stack Developer,9.6,136700
23,Male,Master's,Automation Engineer,4.2,73200
27,Female,Bachelor's,Senior Web Developer,7.8,106000
22,Female,Master's,Junior Network Technician,0.7,33600
28,Female,Master's,IT Business Analyst,4.8,82000
24,Female,Bachelor's,Junior System Administrator,1.4,39100
27,Male,Master's,Network Engineer,4.6,86200
28,Female,PhD,Senior Data Analyst,6.5,115200
24,Male,Master's,UI/UX Designer,3.8,78500
29,Male,Master's,Senior Data Analyst,9.8,149900
20,Male,PhD,Help Desk Technician,0.3,33700
25,Male,Bachelor's,Web Developer,5.2,83500
28,Female,Master's,Platform Engineer,8.9,133900
25,Male,Master's,Automation Engineer,5.6,91800
23,Female,Master's,QA Engineer,3.5,67500
25,Female,Master's,Junior Network Technician,1.9,47300
41,Male,Master's,Director of Engineering,18.1,199700
25,Male,Bachelor's,Network Engineer,5.7,89100
32,Male,Master's,Solutions Architect,10.6,148900
23,Male,Master's,Business Intelligence Analyst,4.0,70900
33,Female,PhD,Senior Full Stack Developer,11.9,167600
27,Male,Master's,Software Test Engineer,4.6,83800
30,Male,Master's,Senior Data Engineer,8.3,127800
28,Male,Master's,Backend Developer,5.5,100100
24,Male,Bachelor's,Junior System Administrator,1.9,45800
22,Female,Bachelor's,Junior Database Administrator,0.2,24300
25,Female,Bachelor's,Frontend Developer,4.9,80300
33,Female,Bachelor's,Platform Engineer,11.9,148100
29,Female,Master's,IT Program Manager,10.5,140600
23,Female,Bachelor's,Automation Engineer,2.5,53900
25,Female,PhD,Business Intelligence Analyst,4.6,91200
22,Female,Master's,Help Desk Technician,0.5,35000
30,Female,Bachelor's,Senior Data Analyst,10.5,139800
27,Male,Bachelor's,Technical Support Engineer,5.2,84800
33,Male,Bachelor's,Machine Learning Engineer,11.5,142800
20,Male,Bachelor's,Junior Software Developer,1.2,35600
19,Male,Master's,Junior QA Tester,0.2,30400
30,Female,Bachelor's,Senior QA Engineer,8.1,111700
22,Male,Bachelor's,Junior Network Technician,1.2,39100
34,Female,Bachelor's,Senior Automation Engineer,11.5,152100
21,Female,Master's,Junior Data Analyst,0.1,28800
23,Male,Master's,Technical Support Engineer,4.6,80900
22,Male,Bachelor's,Frontend Developer,2.8,54900
20,Male,Master's,Junior Mobile App Developer,1.3,41100
33,Female,Bachelor's,Senior Backend Developer,10.5,144100
33,Male,Bachelor's,Senior System Administrator,10.8,143600
33,Female,Master's,Senior Data Engineer,11.5,161000
27,Male,Master's,QA Engineer,5.1,86100
30,Female,Master's,Senior UI/UX Designer,10.2,149100
28,Male,Master's,Software Test Engineer,5.3,90200
38,Male,Master's,Lead Cybersecurity Engineer,16.8,192200
30,Male,Master's,Principal Engineer,11.0,144900
24,Female,Master's,Data Analyst,3.3,72100
32,Female,Master's,Senior Cloud Engineer,10.6,152600
